sigma8,omega_m,s8
4.980147656576117e-07,0.3204605971281605,5.1471747229022e-07
4.980147656576117e-07,0.30534869458305813,5.024347000938847e-07
4.980147656576117e-07,0.28068540492859484,4.817164835311154e-07
4.980147656576117e-07,0.2787542494151805,4.800564843799918e-07
4.980147656576117e-07,0.26175392597329417,4.651876690223123e-07
4.980147656576117e-07,0.26150503627573085,4.649664537082038e-07
4.980147656576117e-07,0.2975139603669134,4.959469988786362e-07
4.980147656576117e-07,0.32704556369017873,5.199789026982047e-07
4.980147656576117e-07,0.2655831270005795,4.6857793272139927e-07
4.980147656576117e-07,0.29393722471738243,4.929568282605456e-07
4.980147656576117e-07,0.2839779260882142,4.845335832593316e-07
4.980147656576117e-07,0.3111424445243783,5.071789517372007e-07
4.980147656576117e-07,0.28229835439167367,4.830985848032213e-07
4.980147656576117e-07,0.30862560238232395,5.051234924657829e-07
4.980147656576117e-07,0.3095109025424472,5.058474532673003e-07
4.980147656576117e-07,0.2660758675183866,4.690124112645596e-07
4.980147656576117e-07,0.31007065795784045,5.063046632458941e-07
4.980147656576117e-07,0.32076073132931937,5.149584506886351e-07
4.980147656576117e-07,0.30643805008750447,5.033301398386617e-07
4.980147656576117e-07,0.2502486217079821,4.548492040876509e-07
4.980147656576117e-07,0.27963459563452703,4.808139307100451e-07
4.980147656576117e-07,0.29657502219319365,4.951637893242815e-07
4.980147656576117e-07,0.30937289981065774,5.057346686884636e-07
4.980147656576117e-07,0.2607297010373576,4.6427665344069404e-07
4.980147656576117e-07,0.28530825733249704,4.856671872338033e-07
4.980147656576117e-07,0.2739544546155676,4.7590555631488974e-07
4.980147656576117e-07,0.29349155625663675,4.925829752211216e-07
4.980147656576117e-07,0.28946972249101566,4.891963008641193e-07
4.980147656576117e-07,0.29603094684667225,4.947093847689481e-07
4.980147656576117e-07,0.30503866065373547,5.021795633147929e-07
4.980147656576117e-07,0.26196297874415436,4.653733956763756e-07
4.980147656576117e-07,0.27867404540794455,4.799874177671303e-07
4.980147656576117e-07,0.2913712594961205,4.908004447930088e-07
4.980147656576117e-07,0.32099868810035076,5.151494265787369e-07
4.980147656576117e-07,0.2653827136713209,4.6840110110633187e-07
4.980147656576117e-07,0.29369267717064607,4.927517224468906e-07
4.980147656576117e-07,0.26359086773831447,4.668171167390746e-07
4.980147656576117e-07,0.29692896418993947,4.954591732716704e-07
